symbol,direction,volatility_regime,trend_regime,gap_regime,higher_timeframe_alignment,time_window,model,signal_time,decision,status,rejection_reason,confirmation_type,base_return,entry_time,tree,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-06-09T10:45:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.25,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap reversal,neutral,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-06-17T14:40:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999692,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-06-24T13:15:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-06-26T14:45:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999998695,,,,,,,,,,,,
QQQ,bearish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-07-02T10:40:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999987,2026-07-02T10:40:00-04:00,,0.4999999999999987,TARGET_1,True,False,False,False,False,0.6021690580527029,-0.19538685349245405,25.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,11:00-13:00,MODEL_D_REGIME_SELECTIVE,2026-07-16T12:10:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999806,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-07-20T14:40:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2499999999999948,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-07-20T14:40:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_D_REGIME_SELECTIVE,2026-07-24T09:50:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999004,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-07-27T10:25:00-04:00,reject,REJECTED,regime gate failed,production baseline,0.500000000000002,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-07-28T14:10:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999867,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_E_TIME_SELECTIVE,2026-05-08T09:45:00-04:00,reject,REJECTED,excluded time window,production baseline,0.4999999999999935,,,,,,,,,,,,
QQQ,bullish,normal,bullish trend,no meaningful gap,aligned,09:30-10:00,MODEL_E_TIME_SELECTIVE,2026-05-14T09:45:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999998926,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-05-18T10:30:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999223,2026-05-18T10:30:00-04:00,,-0.24999999999999223,STOP,False,False,False,True,True,0.17104694656445527,-0.3361111084617298,10.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-05-19T10:05:00-04:00,participate,ACTIVE,,production baseline,-0.2499999999999987,2026-05-19T10:05:00-04:00,,-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-05-21T13:10:00-04:00,participate,ACTIVE,,production baseline,0.49999999999998845,2026-05-21T13:10:00-04:00,,0.49999999999998845,TARGET_1,True,False,False,False,False,0.5182382881215616,-0.02245830683910303,30.0
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-05-21T13:15:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999884,2026-05-21T13:15:00-04:00,,0.4999999999999884,TARGET_1,True,False,False,False,False,0.7549578721164724,-0.2264873616349417,165.0
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-05-22T13:25:00-04:00,participate,ACTIVE,,production baseline,-0.2499999999999912,2026-05-22T13:25:00-04:00,,-0.2499999999999912,STOP,False,False,False,True,False,0.038785361202310686,-0.2937016615134645,35.0
SPY,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-05-22T13:25:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999998906,2026-05-22T13:25:00-04:00,,-0.24999999999998906,STOP,False,False,False,True,False,0.02738179647735919,-0.25442490320180344,35.0
QQQ,bullish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999314,2026-05-28T10:10:00-04:00,,-0.24999999999999314,STOP,False,False,False,True,True,0.03687481600100289,-0.32091258834869174,10.0
SPY,bullish,high-volatility expansion,mixed/neutral,small gap,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,0.1922170571160066,2026-05-28T10:10:00-04:00,,0.1922170571160066,TIME_EXIT,False,False,False,False,False,0.24831953937933085,-0.17661502325918788,240.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-06-01T13:40:00-04:00,participate,ACTIVE,,production baseline,-0.2500000000000006,2026-06-01T13:40:00-04:00,,-0.2500000000000006,STOP,False,False,False,True,False,0.13429307857866382,-0.255160127939075,125.0
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-06-01T13:40:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999103,2026-06-01T13:40:00-04:00,,-0.24999999999999103,STOP,False,False,False,True,False,0.07900624592150647,-0.3449722421347357,140.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-06-05T14:25:00-04:00,reject,REJECTED,excluded time window,production baseline,0.4999999999999974,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-06-09T10:45:00-04:00,participate,ACTIVE,,production baseline,-0.25000000000000067,2026-06-09T10:45:00-04:00,,-0.25000000000000067,STOP,False,False,False,True,True,0.10947677636156891,-0.3015827403628666,5.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-06-09T10:45:00-04:00,participate,ACTIVE,,production baseline,-0.25,2026-06-09T10:45:00-04:00,,-0.25,STOP,False,False,False,True,True,0.08296185614078778,-0.3454530361515793,10.0
QQQ,bullish,normal,mixed/neutral,gap reversal,neutral,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-06-17T14:40:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999999692,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_E_TIME_SELECTIVE,2026-06-24T13:15:00-04:00,participate,ACTIVE,,production baseline,-0.2500000000000006,2026-06-24T13:15:00-04:00,,-0.2500000000000006,STOP,False,False,False,True,False,0.4060914718877888,-0.7563145918037959,165.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-06-26T14:45:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999998695,,,,,,,,,,,,
QQQ,bearish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-07-02T10:40:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999987,2026-07-02T10:40:00-04:00,,0.4999999999999987,TARGET_1,True,False,False,False,False,0.6021690580527029,-0.19538685349245405,25.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,11:00-13:00,MODEL_E_TIME_SELECTIVE,2026-07-16T12:10:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999999806,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-07-20T14:40:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.2499999999999948,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-07-20T14:40:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.2500000000000006,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_E_TIME_SELECTIVE,2026-07-24T09:50:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999999004,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_E_TIME_SELECTIVE,2026-07-27T10:25:00-04:00,participate,ACTIVE,,production baseline,0.500000000000002,2026-07-27T10:25:00-04:00,,0.500000000000002,TARGET_1,True,False,False,False,False,0.5173247188602005,-0.06622187580200378,15.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_E_TIME_SELECTIVE,2026-07-28T14:10:00-04:00,reject,REJECTED,excluded time window,production baseline,-0.24999999999999867,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-08T09:45:00-04:00,participate,ACTIVE,,standard close,0.4999999999999935,2026-05-08T09:45:00-04:00,,0.4999999999999935,TARGET_1,True,False,False,False,False,0.511069770182369,-0.08660510584538973,110.0
QQQ,bullish,normal,bullish trend,no meaningful gap,aligned,09:30-10:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-14T09:45:00-04:00,participate,ACTIVE,,standard close,-0.24999999999998926,2026-05-14T09:45:00-04:00,,-0.24999999999998926,STOP,False,False,False,True,True,0.06636352735216909,-0.4605985226392554,10.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-18T10:30:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999223,2026-05-18T10:30:00-04:00,,-0.24999999999999223,STOP,False,False,False,True,True,0.17104694656445527,-0.3361111084617298,10.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-19T10:05:00-04:00,participate,ACTIVE,,standard close,-0.2499999999999987,2026-05-19T10:05:00-04:00,,-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-21T13:10:00-04:00,participate,ACTIVE,,standard close,0.49999999999998845,2026-05-21T13:10:00-04:00,,0.49999999999998845,TARGET_1,True,False,False,False,False,0.5182382881215616,-0.02245830683910303,30.0
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-21T13:15:00-04:00,participate,ACTIVE,,standard close,0.4999999999999884,2026-05-21T13:15:00-04:00,,0.4999999999999884,TARGET_1,True,False,False,False,False,0.7549578721164724,-0.2264873616349417,165.0
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-22T13:25:00-04:00,participate,ACTIVE,,standard close,-0.2499999999999912,2026-05-22T13:25:00-04:00,,-0.2499999999999912,STOP,False,False,False,True,False,0.038785361202310686,-0.2937016615134645,35.0
SPY,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-22T13:25:00-04:00,participate,ACTIVE,,standard close,-0.24999999999998906,2026-05-22T13:25:00-04:00,,-0.24999999999998906,STOP,False,False,False,True,False,0.02738179647735919,-0.25442490320180344,35.0
QQQ,bullish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-28T10:10:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999314,2026-05-28T10:10:00-04:00,,-0.24999999999999314,STOP,False,False,False,True,True,0.03687481600100289,-0.32091258834869174,10.0
SPY,bullish,high-volatility expansion,mixed/neutral,small gap,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-05-28T10:10:00-04:00,participate,ACTIVE,,standard close,0.1922170571160066,2026-05-28T10:10:00-04:00,,0.1922170571160066,TIME_EXIT,False,False,False,False,False,0.24831953937933085,-0.17661502325918788,240.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-01T13:40:00-04:00,participate,ACTIVE,,standard close,-0.2500000000000006,2026-06-01T13:40:00-04:00,,-0.2500000000000006,STOP,False,False,False,True,False,0.13429307857866382,-0.255160127939075,125.0
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-01T13:40:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999103,2026-06-01T13:40:00-04:00,,-0.24999999999999103,STOP,False,False,False,True,False,0.07900624592150647,-0.3449722421347357,140.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-05T14:25:00-04:00,participate,ACTIVE,,standard close,0.4999999999999974,2026-06-05T14:25:00-04:00,,0.4999999999999974,TARGET_1,True,False,False,False,False,0.6640270563633879,-0.046428312907423046,45.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-09T10:45:00-04:00,participate,ACTIVE,,standard close,-0.25000000000000067,2026-06-09T10:45:00-04:00,,-0.25000000000000067,STOP,False,False,False,True,True,0.10947677636156891,-0.3015827403628666,5.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-09T10:45:00-04:00,participate,ACTIVE,,one-candle hold,-0.25,2026-06-09T10:50:00-04:00,,-0.07238429016660008,STOP,False,False,False,True,True,0.09707586609447011,-0.16766820952245054,5.0
QQQ,bullish,normal,mixed/neutral,gap reversal,neutral,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-17T14:40:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999692,2026-06-17T14:40:00-04:00,,-0.24999999999999692,STOP,False,False,False,True,True,0.006801060267857143,-0.25374016794217685,5.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-24T13:15:00-04:00,participate,ACTIVE,,one-candle hold,-0.2500000000000006,2026-06-24T13:20:00-04:00,,-0.34435263089802737,STOP,False,False,False,True,False,0.3123563368150227,-0.8511437525152765,160.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-06-26T14:45:00-04:00,reject,REJECTED,opening range break-and-hold absent,one-candle hold,-0.24999999999998695,,,,,,,,,,,,
QQQ,bearish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-02T10:40:00-04:00,participate,ACTIVE,,standard close,0.4999999999999987,2026-07-02T10:40:00-04:00,,0.4999999999999987,TARGET_1,True,False,False,False,False,0.6021690580527029,-0.19538685349245405,25.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,11:00-13:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-16T12:10:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999806,2026-07-16T12:10:00-04:00,,-0.24999999999999806,STOP,False,False,False,True,True,0.10756230702912563,-1.3926882980573514,15.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-20T14:40:00-04:00,participate,ACTIVE,,standard close,-0.2499999999999948,2026-07-20T14:40:00-04:00,,-0.2499999999999948,STOP,False,False,False,True,False,0.3296008657106728,-1.335608167957807,80.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-20T14:40:00-04:00,participate,ACTIVE,,one-candle hold,-0.2500000000000006,2026-07-20T14:45:00-04:00,,-0.22907407195869822,STOP,False,False,False,True,False,0.16018543773678653,-0.5358799519772407,75.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-24T09:50:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999004,2026-07-24T09:50:00-04:00,,-0.24999999999999004,STOP,False,False,False,True,True,0.12104844563701755,-0.33686877161062795,15.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-27T10:25:00-04:00,participate,ACTIVE,,standard close,0.500000000000002,2026-07-27T10:25:00-04:00,,0.500000000000002,TARGET_1,True,False,False,False,False,0.5173247188602005,-0.06622187580200378,15.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_F_CONTEXT_CONFIRMATION,2026-07-28T14:10:00-04:00,participate,ACTIVE,,standard close,-0.24999999999999867,2026-07-28T14:10:00-04:00,,-0.24999999999999867,STOP,False,False,False,True,False,0.013346693882958078,-0.36788801717196296,50.0
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_G_SIMPLE_GATES,2026-05-08T09:45:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999935,2026-05-08T09:45:00-04:00,,0.4999999999999935,TARGET_1,True,False,False,False,False,0.511069770182369,-0.08660510584538973,110.0
QQQ,bullish,normal,bullish trend,no meaningful gap,aligned,09:30-10:00,MODEL_G_SIMPLE_GATES,2026-05-14T09:45:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999998926,2026-05-14T09:45:00-04:00,,-0.24999999999998926,STOP,False,False,False,True,True,0.06636352735216909,-0.4605985226392554,10.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-05-18T10:30:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.24999999999999223,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-05-19T10:05:00-04:00,participate,ACTIVE,,production baseline,-0.2499999999999987,2026-05-19T10:05:00-04:00,,-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-05-21T13:10:00-04:00,reject,REJECTED,simple context gate failed,production baseline,0.49999999999998845,,,,,,,,,,,,
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-05-21T13:15:00-04:00,reject,REJECTED,simple context gate failed,production baseline,0.4999999999999884,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-05-22T13:25:00-04:00,participate,ACTIVE,,production baseline,-0.2499999999999912,2026-05-22T13:25:00-04:00,,-0.2499999999999912,STOP,False,False,False,True,False,0.038785361202310686,-0.2937016615134645,35.0
SPY,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-05-22T13:25:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999998906,2026-05-22T13:25:00-04:00,,-0.24999999999998906,STOP,False,False,False,True,False,0.02738179647735919,-0.25442490320180344,35.0
QQQ,bullish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999314,2026-05-28T10:10:00-04:00,,-0.24999999999999314,STOP,False,False,False,True,True,0.03687481600100289,-0.32091258834869174,10.0
SPY,bullish,high-volatility expansion,mixed/neutral,small gap,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,0.1922170571160066,2026-05-28T10:10:00-04:00,,0.1922170571160066,TIME_EXIT,False,False,False,False,False,0.24831953937933085,-0.17661502325918788,240.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-06-01T13:40:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-06-01T13:40:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.24999999999999103,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-06-05T14:25:00-04:00,reject,REJECTED,simple context gate failed,production baseline,0.4999999999999974,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-06-09T10:45:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.25000000000000067,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-06-09T10:45:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.25,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap reversal,neutral,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-06-17T14:40:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.24999999999999692,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_G_SIMPLE_GATES,2026-06-24T13:15:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-06-26T14:45:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.24999999999998695,,,,,,,,,,,,
QQQ,bearish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-07-02T10:40:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999987,2026-07-02T10:40:00-04:00,,0.4999999999999987,TARGET_1,True,False,False,False,False,0.6021690580527029,-0.19538685349245405,25.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,11:00-13:00,MODEL_G_SIMPLE_GATES,2026-07-16T12:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999806,2026-07-16T12:10:00-04:00,,-0.24999999999999806,STOP,False,False,False,True,True,0.10756230702912563,-1.3926882980573514,15.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-07-20T14:40:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.2499999999999948,,,,,,,,,,,,
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-07-20T14:40:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_G_SIMPLE_GATES,2026-07-24T09:50:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999004,2026-07-24T09:50:00-04:00,,-0.24999999999999004,STOP,False,False,False,True,True,0.12104844563701755,-0.33686877161062795,15.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_G_SIMPLE_GATES,2026-07-27T10:25:00-04:00,reject,REJECTED,simple context gate failed,production baseline,0.500000000000002,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_G_SIMPLE_GATES,2026-07-28T14:10:00-04:00,reject,REJECTED,simple context gate failed,production baseline,-0.24999999999999867,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_H_SHALLOW_TREE,2026-05-08T09:45:00-04:00,participate,ACTIVE,,shallow tree,0.4999999999999935,2026-05-08T09:45:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",0.4999999999999935,TARGET_1,True,False,False,False,False,0.511069770182369,-0.08660510584538973,110.0
QQQ,bullish,normal,bullish trend,no meaningful gap,aligned,09:30-10:00,MODEL_H_SHALLOW_TREE,2026-05-14T09:45:00-04:00,participate,ACTIVE,,shallow tree,-0.24999999999998926,2026-05-14T09:45:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",-0.24999999999998926,STOP,False,False,False,True,True,0.06636352735216909,-0.4605985226392554,10.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_H_SHALLOW_TREE,2026-05-18T10:30:00-04:00,participate,ACTIVE,,shallow tree,-0.24999999999999223,2026-05-18T10:30:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",-0.24999999999999223,STOP,False,False,False,True,True,0.17104694656445527,-0.3361111084617298,10.0
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,10:00-11:00,MODEL_H_SHALLOW_TREE,2026-05-19T10:05:00-04:00,participate,ACTIVE,,shallow tree,-0.2499999999999987,2026-05-19T10:05:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_H_SHALLOW_TREE,2026-05-21T13:10:00-04:00,participate,ACTIVE,,shallow tree,0.49999999999998845,2026-05-21T13:10:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",0.49999999999998845,TARGET_1,True,False,False,False,False,0.5182382881215616,-0.02245830683910303,30.0
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_H_SHALLOW_TREE,2026-05-21T13:15:00-04:00,participate,ACTIVE,,shallow tree,0.4999999999999884,2026-05-21T13:15:00-04:00,"{'depth': 0, 'minimum_leaf_size': 5}",0.4999999999999884,TARGET_1,True,False,False,False,False,0.7549578721164724,-0.2264873616349417,165.0
