model,symbol,signal_time,direction,setup,regime,gap_classification,hour,higher_timeframe_alignment,status,reason,confirmed_at,entry_time,entry_delay_minutes,risk_reward,base_return,base_exit_reason,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes,late,formation_delay_minutes
MODEL_C_CLOSE_VOLUME,SPY,2026-05-21T13:15:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-21T13:15:00-04:00,2026-05-21T13:15:00-04:00,0.0,1.9999999999999387,0.4999999999999884,TARGET_1,0.4999999999999884,TARGET_1,True,False,False,False,False,0.7549578721164724,-0.2264873616349417,165.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-05-22T13:25:00-04:00,Bullish,BULLISH SETUP,opening gap continuation,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-22T13:25:00-04:00,2026-05-22T13:25:00-04:00,0.0,2.000000000000061,-0.24999999999998906,STOP,-0.24999999999998906,STOP,False,False,False,True,False,0.02738179647735919,-0.25442490320180344,35.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-05-28T10:10:00-04:00,Bullish,BULLISH SETUP,high-volatility expansion,0.25-0.50 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-28T10:10:00-04:00,2026-05-28T10:10:00-04:00,0.0,2.0000000000000604,0.1922170571160066,TIME_EXIT,0.1922170571160066,TIME_EXIT,False,False,False,False,False,0.24831953937933085,-0.17661502325918788,240.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-06-01T13:40:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-01T13:40:00-04:00,2026-06-01T13:40:00-04:00,0.0,2.0,-0.24999999999999103,STOP,-0.24999999999999103,STOP,False,False,False,True,False,0.07900624592150647,-0.3449722421347357,140.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-06-09T10:45:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-09T10:45:00-04:00,2026-06-09T10:45:00-04:00,0.0,2.0,-0.25,STOP,-0.25,STOP,False,False,False,True,True,0.08296185614078778,-0.3454530361515793,10.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-06-24T13:15:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-24T13:15:00-04:00,2026-06-24T13:15:00-04:00,0.0,2.0,-0.2500000000000006,STOP,-0.2500000000000006,STOP,False,False,False,True,False,0.4060914718877888,-0.7563145918037959,165.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-06-26T14:45:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,14:00-15:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-26T14:45:00-04:00,2026-06-26T14:45:00-04:00,0.0,2.0000000000001243,-0.24999999999998695,STOP,-0.24999999999998695,STOP,False,False,False,True,False,0.1024381548191874,-0.2500004585787494,60.0,False,0.0
MODEL_C_CLOSE_VOLUME,SPY,2026-07-20T14:40:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,14:00-15:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-20T14:40:00-04:00,2026-07-20T14:40:00-04:00,0.0,2.0,-0.2500000000000006,STOP,-0.2500000000000006,STOP,False,False,False,True,False,0.1393407796918869,-0.5568699352622671,80.0,False,0.0
MODEL_C_CLOSE_VOLUME,QQQ,2026-05-08T09:45:00-04:00,Bullish,BULLISH SETUP,opening gap continuation,>1.00 ATR,09:30-10:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-08T09:45:00-04:00,2026-05-08T09:45:00-04:00,0.0,2.0,0.4999999999999935,TARGET_1,0.4999999999999935,TARGET_1,True,False,False,False,False,0.511069770182369,-0.08660510584538973,110.0,False,0.0
MODEL_C_CLOSE_VOLUME,QQQ,2026-05-14T09:45:00-04:00,Bullish,BULLISH SETUP,bullish trend,<0.25 ATR,09:30-10:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-14T09:45:00-04:00,2026-05-14T09:45:00-04:00,0.0,2.000000000000063,-0.24999999999998926,STOP,-0.24999999999998926,STOP,False,False,False,True,True,0.06636352735216909,-0.4605985226392554,10.0,False,0.0
MODEL_C_CLOSE_VOLUME,QQQ,2026-05-18T10:30:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-18T10:30:00-04:00,2026-05-18T10:30:00-04:00,0.0,2.0000000000000644,-0.24999999999999223,STOP,-0.24999999999999223,STOP,False,False,False,True,True,0.17104694656445527,-0.3361111084617298,10.0,False,0.0
MODEL_C_CLOSE_VOLUME,QQQ,2026-05-19T10:05:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-19T10:05:00-04:00,2026-05-19T10:05:00-04:00,0.0,2.0,-0.2499999999999987,STOP,-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0,False,0.0
MODEL_C_CLOSE_VOLUME,QQQ,2026-05-21T13:10:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-21T13:10:00-04:00,2026-05-21T13:10:00-04:00,0.0,2.0,0.49999999999998845,TARGET_1,0.49999999999998845,TARGET_1,True,False,False,False,False,0.5182382881215616,-0.02245830683910303,30.0,False,0.0
